id,name,address,city,country,zipcode,created_at,updated_at,mainstreet,crossstreet,key,owner,image,hotelID,source
184,The Benjamin,125 E 50th St,New York,US,10022,,,,,,,,219391,expedia
185,Affinia Shelburne,303 Lexington Avenue,New York,US,10016,,,,,,Pebblebrook Hotel Trust (PEB),,219447,expedia
186,The Milburn Hotel,242 W 76th St,New York,US,10023,,,,,,,,217106,expedia
187,Best Western Plus Hospitality House,145 E 49th Street,New York,US,10017,,,,,,,,217136,expedia
188,CHURCHILL AT 777 6TH AVE,777 6th Avenue,New York,US,10001,,,,,,,,217421,expedia
189,The Alex,205 E 45th St,New York,US,10017,,,,,,,,215798,expedia
190,Seton Hotel,144 E 40th Street,New York,US,10016,,,,,,,,221403,expedia
191,Affinia 50 Hotel,155 E 50th St,New York,US,10022,,,,,,Pebblebrook Hotel Trust (PEB),,219432,expedia
192,"The Solita Soho Hotel, an Ascend Hotel Collection Member",159 Grand St,New York,US,10013,,,,,,,,222985,expedia
193,UNITED NATIONS SUITES,250 E 39TH STREET,New York,US,10016,,,,,,,,217698,expedia
194,Room Mate Grace,125 W 45th St,New York,US,10036,,,,,,,,225936,expedia
195,Westin New York at Times Square,270 W 43rd Street,New York,US,10036,,,,,,,,226121,expedia
196,Hampton Inn Madison Square Garden Area Hotel,116 W 31 Street,New York,US,10001,,,,,,Hersha Hospitality (HT),,223558,expedia
197,Hotel On Rivington,107 Rivington Street,New York,US,10002,,,,,,,,225633,expedia
198,"The Pierre, A Taj Hotel, New York",2 E 61st St,New York,US,10065,,,,,,,,231553,expedia
199,Hotel Carter,250 W 43rd St,New York,US,10036,,,,,,,,229259,expedia
200,AKA UNITED NATIONS,234 East 46TH Street,New York,US,10017,,,,,,,,229527,expedia
201,Renaissance New York Hotel 57,130 East 57th Street,New York,US,10022,,,,,,,,229528,expedia
202,"Club Quarters, opposite Rockefeller Center",25 West 51st St Entrance A,New York,US,10019,,,,,,,,241086,expedia
203,Courtyard by Marriott New York Manhattan/Upper East Side,410 E 92nd St,New York,US,10128,,,,,,RLJ Lodging Trust (RLJ),,235899,expedia
204,Econo Lodge Times Square,302 W 47th St,New York,US,10036,,,,,,,,240327,expedia
205,YOUR STAY - BROADWAY-HERALD TOW,50 W 34TH STREET,New York,US,10001,,,,,,,,242237,expedia
206,MANHATTAN CENTRE HOTEL,25 WEST 51ST ENTRANCE B,New York,US,10019,,,,,,,,238294,expedia
